Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,Site,Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,,,,,,
TC3,16/02/09,Cherwell at Hampton Poyle,16,2,9,10:40,10:45,,4.7,7.85,3435,14.8,45,56,93,,0.022,3.70,2.42,0.20,26.50,<0.1,26.00,5.87,43.00,6.70,5.89,4.90,,,,,,,,,43,84.7,,3.6,5.3,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC3,03/03/09,Cherwell at Hampton Poyle,3,3,9,10:25,10:30,,7.5,8.05,4922,4.3,121,135,163,,0.018,3.10,3.43,0.20,34.50,0.20,40.00,9.03,58.00,9.20,9.04,2.70,,,,,,,,,58,115.4,,4.3,6.7,21.2,,,,,,,,,,,,,,,,,,5.45,,,,,,,,,,,,,,,,,,,,,
TC3,09/03/09,Cherwell at Hampton Poyle,9,3,9,10:25,10:30,,6.9,8.01,4422,7.5,82,90,113,,0.022,2.90,5.4,0.20,33.50,<0.1,35.00,7.90,56.00,8.70,7.92,3.00,,,,,,,,,56,108.3,,3.9,6.4,19.7,,,,,,,,,,,,,,,,,,5.81,,,,,,,,,,,,,,,,,,,,,
TC3,16/03/09,Cherwell at Hampton Poyle,16,3,9,11:20,11:15,,9.9,8.12,4292,7.9,94,119,145,,0.006,2.50,8.33,0.20,37.00,<0.1,35.50,8.02,61.50,8.40,8.02,3.00,,,,,,,,,60,113.5,,4.4,6.8,21.8,,,,,,,,,,,,,,,,,,4.24,,,,,,,,,,,,,,,,,,,,,
TC3,24/03/09,Cherwell at Hampton Poyle,24,3,9,10:40,10:45,,8.7,8.32,4264,4.5,52,56,79,,0.030,1.20,21.88,0.20,36.00,<0.1,36.00,8.13,61.00,8.10,8.15,3.30,,,,,,,,,50,113.9,,4.2,6.9,24.1,,,,,,,,,,,,,,,,,,3.39,,,,,,,,,,,,,,,,,,,,,
TC3,01/04/09,Cherwell at Hampton Poyle,1,4,9,10:50,10:45,,8.9,8.14,4430,3.8,57,62,94,,0.018,0.50,28.58,0.20,46.50,<0.1,36.00,8.13,62.50,7.90,8.14,3.40,,,,,,,,,63,123.6,,5.6,8.2,33.0,,,,,,,,,,,,,,,,,,3.05,,,,,,,,,,,,,,,,,,,,,
TC3,06/04/09,Cherwell at Hampton Poyle,6,4,9,11:13,11:15,,10.9,8.19,4142,4.4,52,71,104,,0.004,0.30,39.86,0.20,40.00,<0.1,35.00,7.90,62.00,7.70,7.90,3.10,,,,,,,,,59,114.1,,4.9,7.6,25.1,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,,,,,,,,,,,,,
TC3,14/04/09,Cherwell at Hampton Poyle,14,4,9,10:10,10:15,,11.6,8.07,4310,9.6,85,90,145,,0.046,1.00,47.15,0.20,45.00,<0.1,31.50,7.11,63.00,7.00,7.15,3.60,,,,,,,,,67,121.7,,5.6,8.1,31.9,,,,,,,,,,,,,,,,,,2.78,,,,,,,,,,,,,,,,,,,,,
TC3,20/04/09,Cherwell at Hampton Poyle,20,4,9,11:20,11:15,,11.9,8.09,4312,11.0,143,168,218,,0.008,1.70,37.25,0.20,47.50,<0.1,29.50,6.66,63.50,6.90,6.67,4.10,,,,,,,,,73,112.0,,5.5,7.8,31.9,,,,,,,,,,,,,,,,,,2.75,,,,,,,,,,,,,,,,,,,,,
TC3,27/04/09,Cherwell at Hampton Poyle,27,4,9,11:15,11:15,,11.6,8.16,4063,14.5,97,114,201,,0.008,0.40,119.49,0.20,45.50,<0.1,30.00,6.77,64.00,6.80,6.78,3.60,,,,,,,,,79,119.0,,5.7,8.1,31.9,,,,,,,,,,,,,,,,,,2.50,,,,,,,,,,,,,,,,,,,,,
