Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,Site,Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,,,,,,
TC20,02/11/09,Kennet at Woolhampton,2,11,9,10:30,10:30,,11.4,7.95,4726,7.22,46,59,92,,0.010,6.64,7.32,0.13,22.32,0.00,21.52,4.86,18.48,5.10,4.87,2.20,,,,,,,,,25,105.4,,2.8,2.3,12.2,,,,,,,,,,,,,,,,,,5.28,,,,,,,,,,,,,,,,,,,,,
TC20,09/11/09,Kennet at Woolhampton,9,11,9,2:24,2:30,,9.8,8.04,4678,4.16,31,66,90,,0.016,6.78,1.69,0.11,23.08,0.00,23.87,5.39,18.94,5.37,5.40,1.80,,,,,,,,,25,111.7,,2.7,2.5,13.4,,,,,,,,,,,,,,,,,,4.56,,,,,,,,,,,,,,,,,,,,,
TC20,16/11/09,Kennet at Woolhampton,16,11,9,10:05,10:00,,9.8,7.94,4182,8.64,42,65,92,,0.016,6.94,5.14,0.11,22.36,0.03,21.50,4.86,22.21,5.13,4.87,3.20,,,,,,,,,26,103.5,,2.9,2.5,12.7,,,,,,,,,,,,,,,,,,8.12,,,,,,,,,,,,,,,,,,,,,
TC20,23/11/09,Kennet at Woolhampton,23,11,9,9:30,9:30,,10,7.95,4352,10.7,56,72,105,,0.052,6.86,4.67,0.13,23.39,0.03,22.67,5.12,22.58,4.82,5.16,3.20,,,,,,,,,25,102.3,,2.9,2.5,11.9,,,,,,,,,,,,,,,,,,10.30,,,,,,,,,,,,,,,,,,,,,
TC20,30/11/09,Kennet at Woolhampton,30,11,9,9:40,9:45,,7.6,7.78,3473,25.2,64,77,172,,0.113,6.56,11.51,0.12,22.28,0.05,20.94,4.73,24.20,4.73,4.81,5.10,,,,,,,,,27,94.8,,3.2,2.8,12.2,,,,,,,,,,,,,,,,,,14.90,,,,,,,,,,,,,,,,,,,,,
TC20,07/12/09,Kennet at Woolhampton,7,12,9,9:20,9:15,,8.7,7.84,4182,15.84,67,90,142,,0.080,6.65,5.15,0.14,22.26,0.04,21.83,4.93,24.06,5.07,4.99,3.99,,,,,,,,,26,105.0,,2.9,2.7,11.9,,,,,,,,,,,,,,,,,,15.40,,,,,,,,,,,,,,,,,,,,,
TC20,14/12/09,Kennet at Woolhampton,14,12,9,10:10,10:15,,6.8,7.97,3911,8.06,59,65,91,,0.032,7.35,3.32,0.15,22.06,0.02,26.27,5.93,22.96,5.82,5.95,2.64,,,,,,,,,24,113.6,,2.4,2.5,11.4,,,,,,,,,,,,,,,,,,10.20,,,,,,,,,,,,,,,,,,,,,
TC20,04/01/10,Kennet at Woolhampton,4,1,10,10:30,10:30,,3,8.06,4882,7.36,47,71,91,,0.042,7.06,1.20,0.13,22.37,0.02,27.12,6.12,21.81,6.06,6.15,2.77,,,,,,,,,22,110.1,,2.2,2.3,10.8,,,,,,,,,,,,,,,,,,11.60,,,,,,,,,,,,,,,,,,,,,
TC20,11/01/10,Kennet at Woolhampton,11,1,10,10:41,10:45,,3.4,8.05,4919,5.52,60,66,86,,0.051,7.21,1.31,0.13,25.42,0.01,28.49,6.43,20.99,6.65,6.47,2.39,,,,,,,,,22,115.6,,2.1,2.2,13.2,,,,,,,,,,,,,,,,,,10.60,,,,,,,,,,,,,,,,,,,,,
TC20,18/01/10,Kennet at Woolhampton,18,1,10,10:00,10:00,,6,7.81,3840,16.77,72,84,132,,0.058,7.04,2.89,0.12,25.74,0.06,25.73,5.81,22.60,6.05,5.85,3.94,,,,,,,,,22,101.1,,2.5,2.4,13.0,,,,,,,,,,,,,,,,,,17.30,,,,,,,,,,,,,,,,,,,,,
