Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,Site,Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,,,,,,
TC11,16/02/09,Ock at Abingdon,16,2,9,16:05,16:00,,6.5,7.97,4861,13.6,120,136,165,,0.060,7.30,1.76,0.30,30.50,<0.1,32.50,7.34,60.50,8.10,7.38,5.60,,,,,,,,,68,138.8,,4.4,4.9,18.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC11,03/03/09,Ock at Abingdon,3,3,9,15:10,15:15,,7.7,8.16,4795,8.6,127,145,179,,0.036,7.30,4.97,0.20,32.00,0.10,34.00,7.68,64.50,8.10,7.70,3.30,,,,,,,,,57,135.6,,4.3,4.3,18.7,,,,,,,,,,,,,,,,,,2.47,,,,,,,,,,,,,,,,,,,,,
TC11,09/03/09,Ock at Abingdon,9,3,9,14:50,14:45,,7.1,8.14,5563,4.8,137,146,170,,0.032,7.00,4.78,0.20,35.00,<0.1,32.00,7.23,67.00,7.90,7.25,7.80,,,,,,,,,63,137.0,,4.4,4.8,20.1,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,,,,,,,,,,,,
TC11,16/03/09,Ock at Abingdon,16,3,9,16:25,16:30,,9.7,8.25,5091,4.4,129,169,197,,0.014,6.70,6.96,0.20,31.50,<0.1,32.50,7.34,64.50,8.00,7.35,5.50,,,,,,,,,58,137.8,,4.7,4.4,19.3,,,,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,,,,,,,,,
TC11,24/03/09,Ock at Abingdon,24,3,9,14:40,14:45,,8.5,8.3,5161,6.3,132,136,159,,0.022,6.20,13.76,0.20,31.50,<0.1,33.00,7.45,65.50,7.50,7.47,4.00,,,,,,,,,50,140.2,,4.9,4.5,20.9,,,,,,,,,,,,,,,,,,1.67,,,,,,,,,,,,,,,,,,,,,
TC11,01/04/09,Ock at Abingdon,1,4,9,16:04,16:00,,9.11,8.27,5156,3.9,114,125,150,,0.024,4.80,13.08,0.20,33.50,<0.1,33.50,7.56,64.00,7.40,7.58,3.40,,,,,,,,,42,126.1,,5.0,4.2,20.3,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,,,,,,
TC11,06/04/09,Ock at Abingdon,6,4,9,15:14,15:15,,11.1,8.31,4814,4.3,111,131,153,,0.010,4.60,16.54,0.20,32.50,<0.1,32.50,7.34,62.50,7.10,7.34,3.50,,,,,,,,,52,133.7,,5.2,4.6,21.0,,,,,,,,,,,,,,,,,,1.43,,,,,,,,,,,,,,,,,,,,,
TC11,14/04/09,Ock at Abingdon,14,4,9,13:55,14:00,,12.9,8.4,4875,4.9,187,196,226,,0.028,5.10,11.95,0.20,34.00,<0.1,31.50,7.11,60.50,7.00,7.13,3.40,,,,,,,,,50,141.4,,5.6,4.6,23.3,,,,,,,,,,,,,,,,,,1.30,,,,,,,,,,,,,,,,,,,,,
TC11,20/04/09,Ock at Abingdon,20,4,9,15:44,15:45,,12.7,8.36,5046,5.4,255,288,317,,0.030,5.20,13.62,0.20,34.00,0.10,31.00,7.00,60.50,7.00,7.02,5.60,,,,,,,,,62,138.1,,5.6,4.6,22.0,,,,,,,,,,,,,,,,,,1.17,,,,,,,,,,,,,,,,,,,,,
TC11,27/04/09,Ock at Abingdon,27,4,9,15:32,15:30,,11.1,8.1,4095,11.5,181,216,257,,0.018,4.60,23.93,0.20,36.00,0.20,27.50,6.21,57.00,6.30,6.22,4.00,,,,,,,,,60,126.3,,5.2,4.3,24.6,,,,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,,,,,,,
