date,temp,flow,SRP,sun3d,sun,silicon,nitrate,chl,diatoms,p-chloro,n-chloro,totCyano,totCrypto,totPhyto
2011-03-02,4.9,11.8,75.0,0.5,0.0,3.72,34.12,3.9,1924.0,5017.0,5560.0,2097.0,58.0,14656.0
2011-03-08,5.4,4.38,77.0,5.433333333,9.5,3.33,35.17,5.66,2054.0,3434.0,2155.0,520.0,139.0,8302.0
2011-03-15,8.5,3.32,76.0,4.733333333,7.0,2.48,34.34,7.07,3550.0,5392.0,2876.0,443.0,198.0,12459.0
2011-03-22,9.5,2.82,68.0,4.7,7.0,1.71,33.43,5.63,3285.0,5550.0,3516.0,740.0,250.0,13341.0
2011-03-29,10.1,2.5,50.0,4.266666667,5.9,0.62,31.05,29.37,6238.0,7672.0,3516.0,852.0,390.0,18668.0
2011-04-05,10.7,2.38,66.0,2.1,0.0,0.95,29.2,17.12,2891.0,10851.0,4314.0,827.0,490.0,19373.0
2011-04-11,13.4,2.09,35.0,8.966666667,4.8,0.65,26.02,133.61,21634.0,9014.0,7556.0,3165.0,851.0,42220.0
2011-04-19,13.0,1.95,89.0,5.566666667,6.5,1.01,26.1,63.89,21028.0,7176.0,12337.0,3194.0,798.0,44533.0
2011-04-26,14.3,1.54,66.0,7.766666667,2.8,0.66,22.27,128.15,26353.0,10533.0,15473.0,10355.0,808.0,63522.0
2011-05-03,12.6,1.25,135.0,10.86666667,11.5,1.82,24.36,15.44,2867.0,23270.0,16507.0,5277.0,1227.0,49148.0
2011-05-09,15.5,2.34,73.0,7.5,11.3,0.74,21.72,203.45,38935.0,23308.0,18667.0,5209.0,1486.0,87605.0
2011-05-16,13.7,1.16,116.0,2.6,0.8,2.27,19.58,28.27,4916.0,30504.0,13665.0,2983.0,828.0,52896.0
2011-05-24,13.8,1.01,140.0,12.26666667,11.9,2.26,23.09,7.36,1515.0,44130.0,15449.0,3973.0,1067.0,66134.0
2011-05-31,13.4,1.25,136.0,4.3,10.3,2.25,21.67,13.45,2261.0,16767.0,9408.0,3117.0,693.0,32246.0
2011-06-07,15.4,0.92,144.0,3.1,2.9,2.34,20.53,6.04,1217.0,16238.0,4622.0,2597.0,323.0,24997.0
2011-06-14,14.8,1.16,146.0,4.9,6.5,2.37,21.06,2.6,962.0,20677.0,5026.0,2818.0,495.0,29978.0
2011-06-21,16.3,0.88,136.0,5.166666667,8.2,2.54,18.95,6.09,822.0,60343.0,7311.0,11106.0,572.0,80154.0
2011-06-28,17.7,0.88,164.0,6.0,5.5,2.81,19.84,5.98,1664.0,64056.0,9365.0,11841.0,1242.0,88168.0
