date,temp,flow,SRP,sun3d,sun,silicon,nitrate,chl,diatoms,p-chloro,n-chloro,totCyano,totCrypto,totPhyto
2011-02-28,7.3,12.3,40.0,0.5,0.0,7.08,25.71,12.02,1530.0,1448.0,1607.0,236.0,43.0,4864.0
2011-03-07,7.6,9.57,23.0,5.433333333,9.5,7.11,28.59,5.41,1472.0,601.0,1149.0,206.0,63.0,3491.0
2011-03-14,9.2,9.47,30.0,4.733333333,7.0,6.42,28.48,7.91,1972.0,731.0,2285.0,250.0,58.0,5296.0
2011-03-21,9.8,9.34,14.0,4.7,7.0,5.85,27.33,6.83,2934.0,1140.0,3218.0,356.0,178.0,7826.0
2011-03-28,11.3,9.0,2.0,4.266666667,5.9,5.08,26.93,18.74,2746.0,717.0,2290.0,351.0,96.0,6200.0
2011-04-05,10.0,8.81,12.0,2.1,0.0,5.63,25.64,15.56,2323.0,895.0,2949.0,380.0,130.0,6677.0
2011-04-11,13.3,7.99,3.0,8.966666667,4.8,5.14,25.22,13.99,3814.0,957.0,8446.0,332.0,173.0,13722.0
2011-04-18,13.6,7.6,4.0,5.566666667,6.5,5.24,26.97,16.47,3689.0,1125.0,13337.0,712.0,236.0,19099.0
2011-04-26,14.6,6.85,6.0,7.766666667,2.8,4.85,23.78,23.06,3631.0,1539.0,13280.0,1496.0,168.0,20114.0
2011-05-03,13.9,6.25,3.0,10.86666667,11.5,5.32,24.22,16.92,4305.0,1318.0,6763.0,919.0,327.0,13632.0
2011-05-09,16.1,7.18,8.0,7.5,11.3,6.15,21.3,17.85,3636.0,3458.0,8460.0,1260.0,504.0,17318.0
2011-05-17,14.3,5.91,24.0,2.6,0.8,6.7,23.66,9.4,1472.0,2025.0,5565.0,953.0,414.0,10429.0
2011-05-23,14.2,5.38,3.0,12.26666667,11.9,6.61,23.79,13.66,1736.0,4310.0,8720.0,1231.0,260.0,16257.0
2011-05-31,15.1,5.46,26.0,4.3,10.3,7.02,22.92,10.25,683.0,2713.0,3814.0,2492.0,289.0,9991.0
2011-06-06,14.8,5.17,23.0,3.1,2.9,6.97,21.91,4.96,919.0,3155.0,3934.0,1338.0,317.0,9663.0
2011-06-13,15.1,6.08,17.0,4.9,6.5,6.77,20.92,6.24,1049.0,2342.0,3453.0,1471.0,178.0,8493.0
2011-06-21,16.0,5.02,26.0,5.166666667,8.2,6.77,21.83,9.9,1558.0,3814.0,5906.0,3429.0,274.0,14981.0
2011-06-27,20.2,4.49,19.0,6.0,5.5,3.17,21.37,9.03,1279.0,3112.0,4911.0,2977.0,198.0,12477.0
2011-07-04,17.6,4.21,11.0,5.266666667,2.2,6.95,20.94,7.44,798.0,4564.0,6791.0,2078.0,217.0,14448.0
2011-07-11,16.0,4.06,60.0,5.466666667,8.9,7.08,20.22,4.14,981.0,6166.0,8326.0,3992.0,333.0,19798.0
2011-07-18,16.5,4.41,42.0,2.5,0.7,6.64,20.0,9.9,1645.0,11991.0,30936.0,4651.0,217.0,49440.0
2011-07-25,17.2,4.03,40.0,10.33333333,11.1,6.93,21.35,4.28,1015.0,7349.0,8768.0,2881.0,135.0,20148.0
2011-08-01,19.3,3.71,61.0,9.333333333,9.0,6.7,21.12,9.11,1464.0,16793.0,11170.0,3204.0,212.0,32843.0
2011-08-08,16.5,4.12,60.0,4.466666667,7.6,6.83,19.88,4.44,1275.0,10274.0,8186.0,4984.0,202.0,24921.0
2011-08-15,16.5,3.7,64.0,4.7,7.3,6.91,21.02,6.58,1520.0,10889.0,11130.0,5367.0,115.0,29021.0
2011-08-23,15.4,4.0,83.0,5.0,0.0,6.94,20.42,7.88,1082.0,5839.0,5545.0,3867.0,193.0,16526.0
2011-08-30,14.9,4.06,35.0,3.166666667,0.0,7.05,21.54,5.79,962.0,4406.0,3646.0,2578.0,183.0,11775.0
2011-09-05,15.7,3.93,24.0,3.266666667,4.7,6.81,21.43,5.86,1631.0,3627.0,4367.0,2102.0,106.0,11833.0
2011-09-13,15.5,3.77,32.0,7.0,7.6,7.05,22.51,14.43,2415.0,4569.0,5084.0,2891.0,172.0,15131.0
2011-09-19,14.0,3.5,26.0,3.333333333,2.8,6.65,23.43,3.92,529.0,2727.0,1453.0,1785.0,29.0,6523.0
2011-09-26,16.3,3.45,24.0,3.433333333,3.7,6.57,22.92,4.16,495.0,2443.0,1462.0,1328.0,92.0,5820.0
2011-10-03,15.4,3.25,15.0,8.0,6.6,6.58,22.53,3.42,1039.0,2867.0,1968.0,1351.0,255.0,7480.0
2011-10-10,14.2,3.27,23.0,0.2,0.0,7.15,23.47,6.42,875.0,2251.0,1491.0,910.0,284.0,5811.0
2011-10-17,10.3,3.23,27.0,4.333333333,1.0,7.17,23.12,6.08,693.0,1635.0,1029.0,610.0,101.0,4068.0
2011-10-25,11.7,3.32,28.0,4.533333333,4.6,6.95,23.48,4.51,726.0,1390.0,837.0,366.0,150.0,3469.0
2011-10-31,13.0,3.48,31.0,1.833333333,0.7,7.12,22.57,6.51,789.0,1380.0,894.0,365.0,121.0,3549.0
2011-11-07,10.6,3.7,35.0,0.633333333,0.0,7.56,22.65,5.43,726.0,1121.0,674.0,390.0,187.0,3098.0
2011-11-14,11.1,3.46,45.0,2.533333333,0.0,8.04,23.22,2.48,308.0,1039.0,337.0,366.0,106.0,2156.0
