date,temp,flow,SRP,sun3d,sun,silicon,nitrate,chl,diatoms,p-chloro,n-chloro,totCyano,totCrypto,totPhyto
2011-03-02,6.0,3.31,149.0,0.5,0.0,6.96,45.45,1.74,0.0,29.0,19.0,5165.0,0.0,5213.0
2011-03-08,5.7,1.62,167.0,5.433333333,9.5,6.94,39.92,2.29,322.0,640.0,101.0,52.0,29.0,1144.0
2011-03-15,9.3,1.25,206.0,4.733333333,7.0,5.88,35.5,3.23,553.0,731.0,183.0,15.0,5.0,1487.0
2011-03-22,10.6,1.13,184.0,4.7,7.0,5.3,33.13,7.02,779.0,765.0,308.0,154.0,29.0,2035.0
2011-03-29,10.7,1.04,162.0,4.266666667,5.9,3.92,30.36,21.13,861.0,683.0,284.0,196.0,29.0,2053.0
2011-04-05,10.4,0.97,190.0,2.1,0.0,4.67,29.99,12.37,1419.0,1049.0,432.0,380.0,62.0,3342.0
2011-04-11,13.3,0.86,236.0,8.966666667,4.8,4.17,29.7,11.32,798.0,1145.0,385.0,376.0,53.0,2757.0
2011-04-19,13.3,0.76,234.0,5.566666667,6.5,4.48,31.08,5.01,1251.0,2164.0,630.0,755.0,91.0,4891.0
2011-04-26,14.2,0.64,276.0,7.766666667,2.8,5.35,35.77,9.88,491.0,3564.0,1125.0,803.0,43.0,6026.0
2011-05-03,12.7,0.56,256.0,10.86666667,11.5,6.02,33.89,5.78,548.0,3944.0,803.0,558.0,52.0,5905.0
2011-05-09,15.8,0.73,316.0,7.5,11.3,6.52,20.83,8.35,442.0,3564.0,1072.0,394.0,126.0,5598.0
2011-05-16,13.3,0.54,308.0,2.6,0.8,7.39,33.68,2.38,106.0,4074.0,251.0,328.0,29.0,4788.0
2011-05-24,13.7,0.45,321.0,12.26666667,11.9,6.81,28.84,3.5,154.0,1626.0,307.0,361.0,29.0,2477.0
2011-05-31,13.6,0.51,331.0,4.3,10.3,7.73,28.52,4.38,135.0,957.0,360.0,692.0,39.0,2183.0
2011-06-07,14.5,0.44,435.0,3.1,2.9,7.41,28.99,3.47,178.0,1169.0,663.0,581.0,63.0,2654.0
2011-06-14,15.5,0.5,400.0,4.9,6.5,6.79,22.76,4.43,202.0,1097.0,423.0,905.0,33.0,2660.0
2011-06-21,16.0,0.45,371.0,5.166666667,8.2,7.12,25.59,3.99,178.0,2237.0,567.0,399.0,82.0,3463.0
2011-06-28,18.6,0.4,398.0,6.0,5.5,2.03,25.5,4.64,240.0,1558.0,1203.0,1010.0,86.0,4097.0
2011-07-05,17.0,0.37,385.0,5.266666667,2.2,8.32,29.81,4.68,221.0,923.0,587.0,1135.0,53.0,2919.0
2011-07-12,16.7,0.33,341.0,5.466666667,8.9,8.43,27.32,3.58,173.0,649.0,274.0,385.0,24.0,1505.0
2011-07-19,15.8,0.38,397.0,2.5,0.7,7.84,25.55,3.2,154.0,3631.0,240.0,573.0,15.0,4613.0
2011-07-26,16.2,0.31,349.0,10.33333333,11.1,8.34,32.47,2.23,159.0,1116.0,236.0,423.0,34.0,1968.0
2011-08-02,19.2,0.34,346.0,9.333333333,9.0,8.38,27.86,4.55,186.0,826.0,308.0,403.0,50.0,1773.0
2011-08-09,15.5,0.3,410.0,4.466666667,7.6,8.39,28.4,3.01,115.0,669.0,202.0,332.0,19.0,1337.0
2011-08-16,16.5,0.3,380.0,4.7,7.3,8.73,29.41,2.23,111.0,827.0,231.0,260.0,15.0,1444.0
2011-08-23,15.4,0.37,353.0,5.0,0.0,8.08,24.28,2.73,82.0,529.0,250.0,318.0,38.0,1217.0
2011-08-30,14.9,0.38,349.0,3.166666667,0.0,8.0,28.09,3.88,111.0,500.0,202.0,265.0,34.0,1112.0
2011-09-06,15.0,0.37,373.0,3.266666667,4.7,8.16,28.07,2.75,67.0,774.0,293.0,510.0,24.0,1668.0
2011-09-13,15.3,0.32,393.0,7.0,7.6,8.44,27.54,2.99,48.0,519.0,384.0,260.0,29.0,1240.0
2011-09-20,14.6,0.36,389.0,3.333333333,2.8,7.61,28.87,3.92,192.0,688.0,1304.0,601.0,19.0,2804.0
2011-09-26,15.7,0.35,396.0,3.433333333,3.7,7.63,31.04,3.27,91.0,866.0,342.0,491.0,96.0,1886.0
2011-10-04,16.7,0.28,518.0,8.0,6.6,8.36,29.4,4.16,159.0,2823.0,1506.0,963.0,130.0,5581.0
2011-10-11,15.3,0.32,486.0,0.2,0.0,8.06,28.01,2.76,67.0,563.0,159.0,341.0,44.0,1174.0
2011-10-18,10.7,0.33,464.0,4.333333333,1.0,7.88,31.52,1.2,63.0,548.0,250.0,212.0,19.0,1092.0
2011-10-25,12.3,0.36,454.0,4.533333333,4.6,7.39,32.86,2.19,77.0,563.0,269.0,172.0,43.0,1124.0
2011-11-01,13.3,0.34,461.0,1.833333333,0.7,7.66,28.48,1.92,43.0,635.0,250.0,198.0,14.0,1140.0
2011-11-08,11.2,0.4,377.0,0.633333333,0.0,7.5,26.05,1.59,34.0,394.0,183.0,250.0,49.0,910.0
2011-11-15,10.4,0.43,385.0,2.533333333,0.0,8.54,27.39,1.37,10.0,428.0,125.0,187.0,34.0,784.0
2011-11-22,10.3,0.43,356.0,2.066666667,0.0,8.06,30.29,0.93,19.0,390.0,115.0,264.0,24.0,812.0
2011-11-29,9.3,0.47,339.0,2.066666667,0.0,7.92,28.69,1.8,10.0,491.0,125.0,197.0,24.0,847.0
2011-12-06,5.4,0.39,414.0,2.066666667,3.2,7.06,33.62,0.68,19.0,341.0,87.0,110.0,19.0,576.0
2011-12-13,7.0,1.29,323.0,2.9,4.9,5.91,28.61,5.0,154.0,2568.0,692.0,1962.0,326.0,5702.0
2011-12-19,4.0,0.8,229.0,2.5,0.0,6.31,32.13,0.9,43.0,322.0,106.0,168.0,29.0,668.0
2012-01-03,7.9,1.25,235.0,2.433333333,1.6,5.54,26.16,3.73,67.0,1212.0,307.0,972.0,226.0,2784.0
