date,temp,flow,SRP,sun3d,sun,silicon,nitrate,chl,diatoms,p-chloro,n-chloro,totCyano,totCrypto,totPhyto
2011-03-02,5.1,7.58,112.0,0.5,0.0,3.64,29.45,2.72,197.0,1765.0,1299.0,1400.0,19.0,4680.0
2011-03-08,4.8,1.2,108.0,5.433333333,9.5,2.77,43.78,2.25,192.0,774.0,437.0,634.0,77.0,2114.0
2011-03-15,7.7,1.13,163.0,4.733333333,7.0,2.05,45.96,2.33,284.0,1409.0,481.0,485.0,73.0,2732.0
2011-03-22,9.7,0.832,200.0,4.7,7.0,1.28,45.68,2.81,428.0,2448.0,688.0,597.0,77.0,4238.0
2011-03-29,9.5,0.747,192.0,4.266666667,5.9,0.59,41.92,6.4,678.0,5459.0,1260.0,1958.0,294.0,9649.0
2011-04-05,10.2,0.718,239.0,2.1,0.0,0.76,45.22,10.32,1010.0,4709.0,1534.0,914.0,270.0,8437.0
2011-04-11,12.7,0.531,286.0,8.966666667,4.8,0.68,39.43,9.06,818.0,6820.0,1698.0,457.0,202.0,9995.0
2011-04-19,12.5,0.404,380.0,5.566666667,6.5,0.61,42.97,7.25,1534.0,9273.0,2549.0,591.0,621.0,14568.0
2011-04-26,14.4,0.31,421.0,7.766666667,2.8,0.79,36.23,23.51,3603.0,5310.0,7912.0,2184.0,3243.0,22252.0
2011-05-03,12.5,0.294,437.0,10.86666667,11.5,1.15,32.69,13.48,3824.0,3502.0,5868.0,1400.0,688.0,15282.0
2011-05-09,15.3,0.504,528.0,7.5,11.3,1.9,29.3,10.2,2405.0,2006.0,4069.0,1015.0,230.0,9725.0
2011-05-16,13.2,0.224,472.0,2.6,0.8,1.48,32.96,1.64,168.0,2698.0,1221.0,399.0,178.0,4664.0
2011-05-24,13.6,0.157,618.0,12.26666667,11.9,1.01,41.3,5.46,168.0,2126.0,871.0,106.0,697.0,3968.0
2011-05-31,13.6,0.387,668.0,4.3,10.3,1.49,30.92,4.88,279.0,1361.0,577.0,203.0,432.0,2852.0
