Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,Site,Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,,,,,,
TC2,16/02/09,Ray at Islip,16,2,9,10:10,10:15,,4.5,7.64,3304,17.9,67,86,127,,0.106,3.60,3.89,0.20,25.00,0.30,17.50,3.95,55.50,5.10,4.03,8.10,,,,,,,,,57,96.2,,5.2,5.0,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC2,03/03/09,Ray at Islip,3,3,9,10:00,10:00,,7.3,7.93,4850,2.9,190,219,247,,0.086,2.50,2.19,0.10,37.50,0.60,40.00,9.03,95.00,9.70,9.10,4.90,,,,,,,,,84,149.0,,5.6,6.1,28.2,,,,,,,,,,,,,,,,,,1.87,,,,,,,,,,,,,,,,,,,,,
TC2,09/03/09,Ray at Islip,9,3,9,10:05,10:00,,6.1,7.86,5298,9.1,196,217,242,,0.114,2.40,4.39,0.20,47.00,<0.1,34.00,7.68,103.50,8.60,7.76,6.00,,,,,,,,,96,147.2,,6.6,7.2,35.8,,,,,,,,,,,,,,,,,,1.64,,,,,,,,,,,,,,,,,,,,,
TC2,16/03/09,Ray at Islip,16,3,9,10:55,11:00,,9.3,7.97,5092,4.3,180,207,237,,0.004,1.90,8.44,0.20,42.50,<0.1,34.50,7.79,115.50,8.60,7.79,5.60,,,,,,,,,101,143.2,,6.6,7.1,35.8,,,,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,,,,,
TC2,24/03/09,Ray at Islip,24,3,9,10:20,10:15,,7.5,7.97,4834,5.7,242,261,288,,0.062,1.30,16.06,0.20,48.00,0.30,38.50,8.69,132.50,8.80,8.74,6.00,,,,,,,,,106,142.9,,7.6,7.3,42.0,,,,,,,,,,,,,,,,,,0.815,,,,,,,,,,,,,,,,,,,,,
TC2,01/04/09,Ray at Islip,1,4,9,10:21,10:15,,8.7,7.88,4876,5.1,391,451,487,,0.308,1.00,15.33,0.20,52.00,<0.1,48.00,10.84,113.00,10.40,11.07,6.10,,,,,,,,,112,138.6,,9.1,7.0,43.5,,,,,,,,,,,,,,,,,,0.619,,,,,,,,,,,,,,,,,,,,,
TC2,06/04/09,Ray at Islip,6,4,9,10:49,10:45,,10.6,7.92,4660,4.2,403,464,512,,0.044,0.90,26.95,0.20,59.00,<0.1,37.50,8.47,110.50,8.30,8.50,5.80,,,,,,,,,111,137.4,,9.1,6.8,45.9,,,,,,,,,,,,,,,,,,0.595,,,,,,,,,,,,,,,,,,,,,
TC2,14/04/09,Ray at Islip,14,4,9,9:50,9:45,,11.2,7.93,4614,6.1,458,499,554,,0.044,1.30,28.08,0.20,60.00,0.20,44.50,10.05,119.00,10.00,10.08,6.70,,,,,,,,,149,147.9,,11.5,8.0,55.0,,,,,,,,,,,,,,,,,,0.565,,,,,,,,,,,,,,,,,,,,,
TC2,20/04/09,Ray at Islip,20,4,9,11:00,11:00,,11.5,7.96,4505,10.4,365,419,465,,0.062,2.30,20.65,0.20,59.00,<0.1,34.00,7.68,112.50,7.70,7.72,7.40,,,,,,,,,116,121.8,,8.4,7.3,42.6,,,,,,,,,,,,,,,,,,0.634,,,,,,,,,,,,,,,,,,,,,
TC2,27/04/09,Ray at Islip,27,4,9,10:55,11:00,,11.6,7.9,4158,5.9,526,605,640,,0.046,1.40,22.53,0.20,71.00,0.10,46.00,10.39,100.00,10.40,10.42,5.80,,,,,,,,,140,135.9,,11.6,7.1,57.0,,,,,,,,,,,,,,,,,,0.545,,,,,,,,,,,,,,,,,,,,,
TC2,05/05/09,Ray at Islip,5,5,9,9:58,10:00,,12.4,7.97,4554,4.0,398,448,494,,0.068,1.90,15.15,0.10,64.00,0.10,41.50,9.37,98.00,10.10,9.42,5.80,,,,,,,,,141,144.1,,12.2,7.0,57.8,,,,,,,,,,,,,,,,,,0.426,,,,,,,,,,,,,,,,,,,,,
TC2,11/05/09,Ray at Islip,11,5,9,10:15,10:15,,14,7.96,4066,13.1,538,596,689,,0.014,1.50,109.69,0.20,62.00,<0.1,35.50,8.02,79.00,8.80,8.02,7.90,,,,,,,,,124,123.2,,10.9,6.4,49.8,,,,,,,,,,,,,,,,,,0.263,,,,,,,,,,,,,,,,,,,,,
TC2,18/05/09,Ray at Islip,18,5,9,9:50,9:45,,12.6,7.7,3784,11.1,385,442,498,,0.184,3.20,15.31,0.20,54.00,0.20,35.50,8.02,102.00,9.10,8.16,8.40,,,,,,,,,127,111.7,,9.7,6.7,41.9,,,,,,,,,,,,,,,,,,0.747,,,,,,,,,,,,,,,,,,,,,
TC2,26/05/09,Ray at Islip,26,5,9,10:58,11:00,,17.4,7.66,4168,12.7,376,418,507,,<0.004,2.10,69.73,0.20,68.00,0.20,40.50,9.15,107.00,9.90,#VALUE!,7.20,,,,,,,,,144,116.3,,11.0,6.5,50.2,,,,,,,,,,,,,,,,,,0.499,,,,,,,,,,,,,,,,,,,,,
TC2,01/06/09,Ray at Islip,1,6,9,11:13,11:15,,19.6,7.81,3923,15.6,376,430,541,,0.004,2.00,108.70,0.20,74.00,0.20,37.00,8.35,120.50,9.30,8.36,7.30,,,,,,,,,104,119.6,,12.0,6.9,56.6,,,,,,,,,,,,,,,,,,0.302,,,,,,,,,,,,,,,,,,,,,
