Sample ID,Date,Site name,Day,Month,Year,Time,Water temperature,Soluble Reactive P,Total phosphorus (_g/L),Silicon (mg-Si/L),Chlorophyll-a (_g/L),Dissolved nitrate (NO3),Total dissolved nitrogen (mg N/L),Dissolved organic carbon (mg/L),Sunshine duration ,Sunshine duration (3-d average),Mean daily flow (m3/s),Diatoms,Nano-chlorophytes,Pico-chlorophytes,Total Cryptophytes,Total Cyanobacteria,Total phytoplankton
TC16,40602,Thames at Runnymede,28,2,11,11:30,7.9,115,228,5.02,5.62,30.5747,8.91,NA,0,0.5,120.7,899.4264876,1365.973917,2496.269236,72.1465097,293.3958061,5127.211956
TC16,3/7/11,Thames at Runnymede,7,3,11,12:15,7.2,91,159,5.31,3.98,32.9649,8.63,NA,9.5,5.433333333,64.34,966.76323,1433.310659,2299.068776,115.4344155,197.2004598,5011.77754
TC16,40616,Thames at Runnymede,14,3,11,12:30,8.9,104,141,4.81,4.56,34.4106,9.03,NA,7,4.733333333,51.59,1539.12554,1139.914853,2871.431086,81.76604432,96.19534626,5728.43287
TC16,40623,Thames at Runnymede,21,3,11,13:15,9.4,90,133,4.35,1.28,33.85602222,8.54,NA,7,4.7,45.88,1192.822294,1760.374837,5367.700322,149.1027867,129.8637175,8599.863956
TC16,40630,Thames at Runnymede,28,3,11,13:15,11.5,87,132,3.54,8.74,32.29847556,8.24,NA,5.9,4.266666667,40.04,2313.498078,2015.292504,8628.72256,226.0590637,245.298133,13428.87034
TC16,4/5/11,Thames at Runnymede,5,4,11,13:30,11.8,38,141,2.62,92.35,29.0967,7.51,NA,0,2.1,36.14,30825.79871,7940.925834,10321.76065,1087.007413,812.8506759,50988.34329
TC16,4/11/11,Thames at Runnymede,11,4,11,15:45,15,66,134,3.08,50.49,29.2036,6.59,NA,4.8,8.966666667,32.21,17608.55813,12991.18151,26737.49649,1433.310659,591.6013795,59362.14818
TC16,40651,Thames at Runnymede,18,4,11,12:45,14.1,79,123,3.295,14.98,30.2634,7.59,NA,6.5,5.566666667,29.43,4184.497562,15458.59214,49030.76799,3318.739446,769.5627701,72762.15991
TC16,40659,Thames at Runnymede,26,4,11,14:00,16.5,7,153,0.02,294.55,21.9136,5.63,NA,2.8,7.766666667,25.85,38482.94827,5790.959845,29214.52666,2452.98133,798.421374,76739.83748
TC16,5/3/11,Thames at Runnymede,3,5,11,10:45,15.3,3,117,0.11,145.58,21.8811,5.61,NA,11.5,10.86666667,22.89,21562.18687,4583.708249,9263.611845,1428.500892,779.1823047,37617.19016
