DATETIME,Sunshine hours,3d average
1/1/18,1.2,
1/2/18,0,
1/3/18,2.9,1.366666667
1/4/18,0.6,1.166666667
1/5/18,3.8,2.433333333
1/6/18,1.6,2
1/7/18,6.1,3.833333333
1/8/18,0,2.566666667
1/9/18,0,2.033333333
1/10/18,2.3,0.766666667
1/11/18,0,0.766666667
1/12/18,0,0.766666667
1/15/18,1.5,0.5
1/16/18,4.1,1.866666667
1/17/18,4,3.2
1/18/18,4.9,4.333333333
1/19/18,5.7,4.866666667
1/20/18,0,3.533333333
1/21/18,0,1.9
1/22/18,1.8,0.6
1/23/18,1.4,1.066666667
1/24/18,0,1.066666667
1/25/18,5.8,2.4
1/26/18,2.5,2.766666667
1/27/18,0,2.766666667
1/28/18,0,0.833333333
1/29/18,0.9,0.3
1/30/18,5.5,2.133333333
1/31/18,3.7,3.366666667
2/1/18,5.4,4.866666667
2/2/18,2.6,3.9
2/3/18,0,2.666666667
2/4/18,2.8,1.8
2/5/18,5.8,2.866666667
2/6/18,2.8,3.8
2/7/18,7.6,5.4
2/8/18,0.4,3.6
2/9/18,3.3,3.766666667
2/10/18,1.3,1.666666667
2/11/18,6.9,3.833333333
2/12/18,7.3,5.166666667
2/13/18,0,4.733333333
2/14/18,0,2.433333333
2/15/18,6.3,2.1
2/16/18,8.1,4.8
2/17/18,4,6.133333333
2/18/18,2.2,4.766666667
2/19/18,0,2.066666667
2/20/18,3.9,2.033333333
2/21/18,0.2,1.366666667
2/22/18,2.7,2.266666667
2/23/18,6.6,3.166666667
2/24/18,8.7,6
2/25/18,7.4,7.566666667
2/26/18,5.2,7.1
2/27/18,5.3,5.966666667
2/28/18,4.1,4.866666667
3/1/18,0,3.133333333
3/2/18,0,1.366666667
3/3/18,1.3,0.433333333
3/4/18,0.9,0.733333333
3/5/18,1.3,1.166666667
3/6/18,2.6,1.6
3/7/18,6.9,3.6
3/8/18,7.2,5.566666667
3/9/18,0.1,4.733333333
3/10/18,0.2,2.5
3/11/18,1.8,0.7
3/12/18,0,0.666666667
3/13/18,2.6,1.466666667
3/14/18,1.9,1.5
3/15/18,3.4,2.633333333
3/16/18,5.6,3.633333333
3/17/18,0,3
3/18/18,0,1.866666667
3/19/18,7.4,2.466666667
3/20/18,4.1,3.833333333
3/21/18,8.2,6.566666667
3/22/18,2.2,4.833333333
3/23/18,1.6,4
3/24/18,0,1.266666667
3/25/18,0.1,0.566666667
3/26/18,5.8,1.966666667
3/27/18,1.3,2.4
3/28/18,1.9,3
3/29/18,0.1,1.1
3/30/18,0,0.666666667
3/31/18,0.9,0.333333333
4/1/18,3,1.3
4/2/18,0,1.3
4/3/18,1.3,1.433333333
4/4/18,0.8,0.7
4/5/18,8.9,3.666666667
4/6/18,7,5.566666667
4/7/18,0.6,5.5
4/8/18,0,2.533333333
4/9/18,0,0.2
4/10/18,0,0
4/11/18,0,0
4/12/18,0,0
4/13/18,0.3,0.1
4/14/18,8.9,3.066666667
4/15/18,1,3.4
4/16/18,5.7,5.2
4/17/18,4.8,3.833333333
4/18/18,9.6,6.7
4/19/18,12.1,8.833333333
4/20/18,11.8,11.16666667
4/21/18,6.5,10.13333333
4/22/18,8.9,9.066666667
4/23/18,3.3,6.233333333
4/24/18,0,4.066666667
4/25/18,10.2,4.5
4/26/18,10.1,6.766666667
4/27/18,0,6.766666667
4/28/18,0,3.366666667
4/29/18,0,0
4/30/18,0.5,0.166666667
5/1/18,10.1,3.533333333
5/2/18,4.8,5.133333333
5/3/18,8.5,7.8
5/4/18,6.3,6.533333333
5/5/18,12.5,9.1
5/6/18,12.4,10.4
5/7/18,12.1,12.33333333
5/8/18,11.3,11.93333333
5/9/18,8,10.46666667
5/10/18,10.3,9.866666667
5/11/18,4.8,7.7
5/12/18,1.2,5.433333333
5/13/18,11.1,5.7
5/14/18,12.9,8.4
5/15/18,12.5,12.16666667
5/16/18,0,8.466666667
5/17/18,13.1,8.533333333
5/18/18,11,8.033333333
5/19/18,12.4,12.16666667
5/20/18,12.1,11.83333333
5/21/18,8.8,11.1
5/22/18,11.7,10.86666667
5/23/18,8.5,9.666666667
5/24/18,0.2,6.8
5/25/18,0,2.9
5/26/18,8,2.733333333
5/27/18,5.9,4.633333333
5/28/18,4.3,6.066666667
5/29/18,0,3.4
5/30/18,0,1.433333333
5/31/18,1.3,0.433333333
6/1/18,3,1.433333333
6/2/18,8.2,4.166666667
6/3/18,11.1,7.433333333
6/4/18,0.1,6.466666667
6/5/18,5.2,5.466666667
6/6/18,10.8,5.366666667
6/7/18,0.6,5.533333333
6/8/18,1.5,4.3
6/9/18,3.4,1.833333333
6/10/18,8.2,4.366666667
6/11/18,12.8,8.133333333
6/12/18,2.4,7.8
6/13/18,6.8,7.333333333
6/14/18,8.1,5.766666667
6/15/18,9.1,8
6/16/18,2.3,6.5
6/17/18,0.9,4.1
6/18/18,8.4,3.866666667
