Sample ID,Date,Site name,Day,Month,Year,Time,Time rounded,Notes,Temperature (oC),pH,Gran alkalinity μeq/L,Suspended solids mg/L,Soluble reactive phosphorus (μg/L),Total dissolved phosphorus (μg/L),Total phosphorus (μg/L),Total reactive phosphorus (μg/l),Dissolved ammonium (NH4) (mg/l),Dissolved silicon (mg Si/L) ,Chlorophyll-a (μg/L),Dissolved fluoride (mg F/L),Dissolved chloride (mg Cl/L),Dissolved nitrite (mg NO2/L),Dissolved nitrate (NO3),Dissolved Nitrate-N (mg N/L),Dissolved sulphate (mg SO4/L),Total dissolved nitrogen (mg N/L),N check,Dissolved organic carbon (mg/L),Field pH,Conductivity,Eh,DO Temp,% DO,DO     mg/l,,Dissolved Al (ppm),Dissolved B (ppb),Dissolved Ca (ppm),Dissolved Fe (ug/l)),Dissolved K (mg/l),Dissolved Mg (mg/l),Dissolved Na (mg/l),Dissolved P (ppm),Dissolved S (ppm),Dissolved Si (ppm),Dissolved Mn (ug/l),Dissolved Zn (ug/l),Dissolved Cu (ug/l),,Total Na (mg/l),Total Ca (mg/l),Total Mg (mg/l),Total B (ug/l),Total Fe (ug/l),Total Mn (ug/l),Total Zn (ug/l),Total Cu (ug/l),Total Al (ug/l),,Mean daily flow (m3/s),,,FC analysis Date,Green_diatoms,Green_meso,Green meso 2,Green_pico,Crypto 1,Crypto 2,Crypto 3,Cyano1,Cyano2,Cyano3,Cyano4,,Diatoms,Chlorophytes,Crypto,Cyanobacteria,Total phytoplankton,% cyanobacteria
TC1,16/02/09,Thame at Wheatley,16,2,9,9:40,9:45,,,7.86,4558,10.9,170,188,220,,0.096,5.60,2.97,0.30,33.00,0.20,26.50,5.98,65.00,7.00,6.06,6.70,,,,,,,,,72,128.3,,5.4,5.9,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC1,03/03/09,Thame at Wheatley,3,3,9,9:25,9:30,,7.2,8.01,4915,7.7,351,375,438,,0.200,5.80,6.93,0.20,41.00,<0.1,34.00,7.68,77.00,8.30,7.83,5.10,,,,,,,,,81,140.0,,6.5,6.0,26.7,,,,,,,,,,,,,,,,,,3.58,,,,,,,,,,,,,,,,,,,,,
TC1,09/03/09,Thame at Wheatley,9,3,9,9:40,9:45,,6.8,7.94,5637,7.5,280,292,341,,0.232,5.30,9.56,0.20,42.50,<0.1,30.50,6.89,81.50,7.90,7.07,9.90,,,,,,,,,88,139.1,,6.5,6.4,29.7,,,,,,,,,,,,,,,,,,4.00,,,,,,,,,,,,,,,,,,,,,
TC1,16/03/09,Thame at Wheatley,16,3,9,10:00,10:00,,9.3,8.05,5393,5.3,322,364,415,,0.176,4.40,8.88,0.20,43.50,0.10,30.50,6.89,80.50,7.90,7.02,6.00,,,,,,,,,89,142.9,,7.1,6.3,29.4,,,,,,,,,,,,,,,,,,2.30,,,,,,,,,,,,,,,,,,,,,
TC1,24/03/09,Thame at Wheatley,24,3,9,9:45,9:45,,7.8,8.14,5351,6,312,336,381,,0.364,2.80,29.21,0.20,46.00,<0.1,36.50,8.24,76.00,8.60,8.52,5.40,,,,,,,,,83,141.3,,8.0,6.1,34.5,,,,,,,,,,,,,,,,,,1.96,,,,,,,,,,,,,,,,,,,,,
TC1,01/04/09,Thame at Wheatley,1,4,9,9:46,9:45,,8.9,8.2,5129,4.4,408,442,480,,0.384,2.30,17.63,0.20,48.50,0.20,34.50,7.79,70.00,7.90,8.09,5.40,,,,,,,,,79,145.8,,9.0,6.3,36.9,,,,,,,,,,,,,,,,,,1.48,,,,,,,,,,,,,,,,,,,,,
TC1,06/04/09,Thame at Wheatley,6,4,9,9:48,9:45,,11.3,8.2,5067,5.4,465,516,568,,0.292,2.30,21.03,0.20,47.50,0.30,35.50,8.02,68.00,8.20,8.24,5.00,,,,,,,,,91,142.7,,8.9,6.1,34.2,,,,,,,,,,,,,,,,,,2.08,,,,,,,,,,,,,,,,,,,,,
TC1,14/04/09,Thame at Wheatley,14,4,9,9:10,9:15,,11.9,8.11,5076,8.8,459,508,568,,0.308,4.60,33.57,0.20,50.00,<0.1,34.00,7.68,69.50,7.70,7.91,5.40,,,,,,,,,94,146.9,,9.5,6.3,39.3,,,,,,,,,,,,,,,,,,1.51,,,,,,,,,,,,,,,,,,,,,
TC1,20/04/09,Thame at Wheatley,20,4,9,10:00,10:00,,11.9,8,4513,9.1,626,690,747,,0.392,4.90,20.57,0.20,49.00,<0.1,34.50,7.79,71.50,8.20,8.09,6.40,,,,,,,,,96,125.2,,8.5,6.1,34.4,,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,,,,,,
TC1,27/04/09,Thame at Wheatley,27,4,9,9:40,9:45,,12.2,7.98,4088,12.0,526,640,1424,,0.208,3.70,47.80,0.20,52.00,0.80,37.50,8.47,73.00,8.60,8.63,4.60,,,,,,,,,104,136.1,,10.0,6.0,40.2,,,,,,,,,,,,,,,,,,1.46,,,,,,,,,,,,,,,,,,,,,
